#/log,DATA CREATED,データ作成日,20190211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,"IDA, Hideyuki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Heigh at Otanomosutaira (OT-EC1).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,おたの申す平（志賀高原）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT ID,調査区ID,OT-EC１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mound,根上り(cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_date,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090324,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note06.1にmound根上り（cm）を入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,オガラバナsp-->オガラバナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090409,井田さんから修正版データが来たので、再度データを作り直し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no= B0003 のgbh07かgbh08は測定間違いの可能性あり-->2008年ndに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,樹種「死亡?」-→nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20091018,"B0481のstem_xcord,stem_ycordを修正",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100322,2009年データ追加・成形(石原正恵),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no= B0003 のgbh07かgbh08は測定間違いの可能性あり-->樹皮はがれ、2008、2009年ndに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,樹種「死亡?」-→nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no= B0215は2008年に死亡のため、gbh08値はnote08に入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,2006年は0.6ha分のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no= B0385、B0633 のgbhは測定間違いの可能性あり→gbh09をndに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100922,tag_no=B0633 のgbh09はndだったが，恐らく樹皮剥げによるものでnd解除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20111031,位置修正数カ所有り、樹種修正１、480、481は密着のため測定位置変更した。このため2010年までのＧＢＨはndとし参考値とした。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20140908,調査用紙印刷（項目を一次移動，dとnaはフィルタで除外）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20141010,GBHの欄以外を入力ないし修正（井田）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20150119,学名チェック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20150206,2014年GBH欄の空白欄にnaを入力/毎木データ書き出し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20150211,noteを2006?2014まで全て統合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20151222,2016用調査用紙印刷（dとnaはフィルタで除外）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161124,2017用調査用紙印刷（dとnaはフィルタで除外）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171017,公開用データのためのチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=B0442 gbh14基準値より小さい　gbh測定間違いの可能性あり→備考欄に「癒着幹１本枯れのため減る」とあるので、測定位置変更としてｃｄをつけた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=B0580 gbh10に枯死、枯死の次の調査以降のgbhがnaになっていない→na代入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=B0693 gbh13に枯死、枯死の次の調査以降のgbhがnaになっていない→備考欄から生き返ったようなので、gbh13=d、gbh14=NAをそれぞれndに変更,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=B0705 gbh09=na で gbh10=119新規加入個体だが、「当年のgbhは22cm以上＆前年はna」のため前年計測忘れの疑い→前年までをndにする,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171127,2017年データ入力(井田）、日野さんチェック分を確認＆修正（過去のgbhで赤塗りのところは測定ミス）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171127,2018年調査票の印刷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171209,2017年データ入力確認（日野）（過去のgbhで測定ミスのため赤塗りしてあるgbhの前にndを入力）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=B0709 gbh12=na で gbh13=23.5, 新規加入個体だが、「当年のgbhは22cm以上＆前年はna」のため前年計測忘れの疑い→gbh12にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180105,以下、ネットワークセンター日野さんより最終チェック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,B0291,gbh12,「測定ミス」とのことだが、成長量には問題なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,B0410,gbh12,成長量が基準値より小さい、測定間違い？Gbh13以降も値が小さいので測定位置変更？→2012年cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,B0444,gbh13,成長量が基準値より小さい、測定間違い？Gbh14以降も値が小さいので測定位置変更？→2013年cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,B0617,gbh12,「測定ミス」とのことだが、むしろgbh11が過大測定？→2011年nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,B0618,gbh12,成長量が基準値よりも小さく「測定ミス」とのことだが、コケはげによると想定されるので、むしろ「測定位置変更」つまりgbhの前にｃｄの入力が妥当？→2012cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180105,ネットワークセンター日野さんに送る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20181227,2019年のデータシート印刷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20181228,2018までのデータをネットワークセンター日野さんに送る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#南（X）,東（Y）,幹タグNo.,個体No.,南(x)座標,東(y)座標,樹種名,gbh06,gbh07,gbh08,gbh09,gbh10,gbh11,gbh12,gbh13,gbh14,gbh15,gbh16,gbh17,gbh18,note19,note06,note0.61,note07,note08,note09,note10,note11,note12,note13,note14,note15,s_date06,s_date07,s_date08,s_date09,s_date10,s_date11,s_date12,s_date13,s_date14,s_date15,s_date16,s_date17,s_date18
mesh_xcord,mesh_ycord,tag_no,indv_no,stem_xcord,stem_ycord,spc_japan,gbh06,gbh07,gbh08,gbh09,gbh10,gbh11,gbh12,gbh13,gbh14,gbh15,gbh16,gbh17,gbh18,note16以降は統合（記入&入力時/●●20XXとする）,note06,note0.61,note07,note08,note09,note10,note11,note12,note13,note14,note15,s_date06,s_date07,s_date08,s_date09,s_date10,s_date11,s_date12,s_date13,s_date14,s_date15,s_date16,s_date17,s_date18
0,0,B0001,B0001,0.2,0,オオシラビソ,129.5,130.3,131.8,132.9,135.1,135.6,137.5,138.7,145,nd141.8,144.5,144.7,146.5,割れのため大きくなる2018,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0002,B0002,4,1,オオシラビソ,34,34.5,35,35.5,35.8,35.9,36.6,36.7,38.1,38.6,38.2,38.3,38.7,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0003,B0003,5.8,3,コメツガ,169.3,174.6,nd161,nd161.7,nd162.8,na,na,na,na,na,na,na,na,根上がり100／dead2010立ち枯れ,根上がり,100,死にかけ,na,主幹枯れ・樹皮はがれ,主幹枯れ・枝のみ生存,na,na,na,na,根上がり100／dead2010立ち枯れ,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,na,na
0,0,B0004,B0003,5.8,3,コメツガ,143.4,142.3,142.6,143.1,143.8,143.5,143.6,143.3,143.8,143.9,143.9,143.3,d,枯れかけ2017／立ち枯れ2018,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0005,B0003,5.8,3,コメツガ,204.5,203,203.5,204.8,205,203.9,204,205.2,205.6,205.6,206.5,206.5,206.5,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0006,B0006,6,9,コメツガ,144.5,145.4,146.3,147.2,147.2,147.2,147.3,147.9,148.6,149.1,148.7,149.2,149.4,根上がり50,根上がり,50,na,na,na,na,na,na,na,na,根上がり50,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0007,B0007,0.3,8.7,オオシラビソ,34.5,34.7,35,35.2,35.4,35.4,35.8,36.2,36.2,36.9,36.5,36.7,36.3,コブ入れず2018,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0008,B0008,4.3,3.7,オオシラビソ,19.4,19.5,19.9,20.7,21.3,21.3,22,22.2,22.8,23.1,23,23.1,23.2,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
0,0,B0009,B0009,2.5,2.5,オオシラビソ,24.5,24.5,24.3,d,na,na,na,na,na,na,na,na,na,dead2009根元折れ,na,na,na,na,枯死（根元から倒れる）,na,na,na,na,na,dead2009根元折れ,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,na,na
0,0,B0010,B0010,0.1,4.9,オオシラビソ,41.7,42.3,42.8,43.4,44,44.3,44.7,44.8,45,45,45.2,45.3,45.4,,na,na,倒れかけ,na,na,na,na,na,na,na,倒れかけ,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
10,0,B0011,B0011,1.7,3.4,オオシラビソ,41,41.2,41.3,41.7,41.9,42.1,42.3,42.3,42.4,42.5,43.1,42.9,42.9,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
10,0,B0012,B0012,7.1,3,オオシラビソ,24.3,24.3,24.4,24.4,24.7,24.3,24.9,d,na,na,na,na,na,dead2013立ち枯れ,na,na,na,na,na,na,na,na,立ち枯れ,na,dead2013立ち枯れ,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,na,na
10,0,B0013,B0013,9,1.8,オオシラビソ,31.2,31.6,31.3,31.7,32.1,31.8,32.2,32.5,32.3,32.5,32,32,d,立ち枯れ2018,na,na,na,na,na,na,位置修正,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
10,0,B0014,B0014,8.9,7.8,オオシラビソ,89.9,90.7,90.9,91.7,92.1,92.1,92.5,94,92.9,93.4,93.1,93.1,93.5,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
10,0,B0015,B0015,6.7,9.2,コメツガ,126.5,127,127.8,128.2,128.8,128.6,129.5,129.6,130.4,130.8,130.8,131,131,,na,na,na,na,同定ミス（前年トウヒ）,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
10,0,B0016,B0016,10,9,トウヒ,161.7,162.9,164.2,164.8,166.3,166.4,167.7,168.6,169.8,170.6,173,175.3,176,,na,na,na,na,同定ミス（前年コメツガ）,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
20,0,B0017,B0017,1.3,3.6,オオシラビソ,38.4,38.3,37.8,38.1,38.2,38.4,38.4,d,na,na,na,na,na,dead2013立ち枯れ,根上がり,62,na,na,na,na,na,na,立ち枯れ,na,dead2013立ち枯れ,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,na,na
20,0,B0018,B0018,4.7,1.2,コメツガ,92.3,92.7,92.8,93.4,93.9,93.7,94.7,94.1,94.5,95.3,95.1,95.7,96.1,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
20,0,B0019,B0019,4,5.4,オオシラビソ,142.2,144,144.8,146.3,147,147.7,149.4,149.5,150.8,151.5,153.9,154,154.4,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
20,0,B0020,B0020,5.4,9.3,オオシラビソ,45.9,46.2,46.2,47,46.9,46.9,47,47.3,47.4,47.5,47.7,47.7,47.9,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
20,0,B0021,B0021,5.9,5.4,オオシラビソ,115.8,116.2,117,118.6,118.9,119.1,120,121.4,121.2,121.6,122,121.5,122.6,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
20,0,B0022,B0022,8.9,7.9,オオシラビソ,65,65,65.1,65.6,66,66,66.3,67.2,67,67.1,67.3,67.7,68,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0023,B0023,0.2,2,ダケカンバ,135.3,134.4,135,135.2,135.7,135.7,136.1,136.2,136.9,137,138,137.4,137.5,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0024,B0024,0.2,3.8,コメツガ,79.2,80,79.6,79.9,82.5,79.9,80.4,80.3,81.2,81.3,80.8,80.6,80.6,根上がり25,根上がり,25,na,na,na,na,na,na,na,na,根上がり25,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0025,B0025,1,8.8,オオシラビソ,55.5,55.7,55.9,56.9,56.9,56.7,56.9,57.2,57.3,57.5,57.3,57.3,57.5,,na,na,na,na,na,na,積雪計,na,na,na,積雪計,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0026,B0026,0.5,9.6,オオシラビソ,93.7,94.6,95.9,96.2,96.8,97,97.7,98.9,98.8,99.1,100,100.3,100.6,,na,na,na,na,積雪計,na,na,na,na,na,積雪計,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0027,B0027,3.4,9.5,オオシラビソ,74.7,75.4,75.2,76.2,75.8,75.8,75.9,76.2,76.3,76.4,76.4,76.4,76.5,積雪計,na,na,na,na,積雪計,na,na,na,na,na,積雪計,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0028,B0028,5,5.5,オオシラビソ,112.2,113,114.2,115,116.7,116.6,117.9,119,119,119.8,120.8,121.1,121.4,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0029,B0029,4.5,2,オオシラビソ,66.8,67.4,67.3,68.2,68.4,68.7,69.4,69.2,70,d,na,na,na,dead2015倒木,na,na,na,na,na,na,na,na,na,na,dead2015倒木,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,na,na
30,0,B0030,B0030,6,3,トウヒ,74.9,75.7,75.6,76.4,76.6,77,77.4,77.2,77.4,77.6,77.7,77.9,78.2,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
30,0,B0031,B0031,7.4,3.4,オオシラビソ,84,84.6,84.8,85.4,85,85.1,85.3,85.4,85.4,85.8,85.9,86.2,86.2,,na,na,na,na,na,na,na,na,na,na,,20061025,20071006,20080908,20090918,20100916,20111020,20121012,20131010,20141009,20151011,20161015,20170930,20180917
